Name,Organization,Project
Sanjeev Singh,CloudCV,Enhance UI/UX of EvalAI
Keshav Garg,coala,Enhance Websites Architecture
Umang Taneja,SPDX (Software Product Data Exchange),Enhance workflow for Online license request
liveHarshit,FOSSASIA,Enhancement of FOSSASIA Eventyay Attendee App
Gagandeep Singh-1,SymPy,Enhancement of Statistics Module
TRAN ANH DUC LE,FOSSASIA,ENHANCEMENT ON OPEN EVENT ANDROID AND SERVER
Abhishek Sansanwal,Amahi,Enhancement to Amahi iOS Project
Kristóf Umann,LLVM Compiler Infrastructure,Enhancing bug reports in the Clang Static Analyzer
Ayush Shridhar,Mozilla,Enhancing bugbug : A platform for Bugzilla machine learning projects
Siwani Agrawal,AOSSIE - Australian Open Source Software Innovation and Education,Enhancing Carbon Assistant-Function with new functionalities and unit-testing
Kunal Gulati,Free and Open Source Silicon Foundation,Enhancing JuxtaPiton with X86 Support
Abel Briggs,Android Graphics Tools Team,Enhancing Metamorphic Testing Tools For Graphics Drivers
rishabhptr,FOSDEM,ENHANCING STANDS AND DEVROOM SUBMISSION IN OSEM
Siddharth Muralee,The NetBSD Foundation,Enhancing Syzkaller support for NetBSD
Saurabh Singh,CGAL project,Enhancing the 2D Arrangement Demo
Krezhairo,CGAL project,Enhancing the 2D Regularized Boolean Set Operations Demo
Rahul Chauhan,R project for statistical computing,Enhancing Visualizations for Biodiversity Data
Manjunath Bhat,The Julia Language,Enriching Model Zoo with Deep Learning Models
Filip Fila,KDE Community,Ensuring consistency between the SDDM login manager and the Plasma desktop
Rajat Mittal,SageMath,Enumeration of paths and improvements in the Graph Module
Zachary Heins,cBioPortal for Cancer Genomics,ETL pipeline development for TCGA data from GDC Portal
Simone Degiacomi,Open Roberta,EV3 as a storage device
Sanket Bansal,CloudCV,EvalAi-ngx
Kartik Verma,CloudCV,Evaluating Submission Code in Docker Containers
Ivan Yashchuk,NumFOCUS,Expand ChainerX Ops: Differentiable Linear Algebra
Ilias Stamatis,Libvirt,Expand libvirt test driver API coverage
Avinash Agarwal,Sugar Labs,Expand Sugarizer’s Exerciser Activity
Andrew Kamble,GNSS-SDR,Expanding the receiver to BEIDOU B1C
Ezequiel Pássaro,Python Software Foundation,Expansion of the TARDIS Atomic Database
Emilio Cortina Labra,CERN-HSF,Experiment independent display framework and data format
Fahrozi Fahrozi,R project for statistical computing,Exploring Election and Census Highly Informative Data Nationally for Indonesia ( Eechidna R package)
Anish Gulati,Synfig,Export Animation for Web
Wilfredo Graterol,Open Roberta,Expression block... and more
Yash Gupta-2,apertus° Association,Extend Camera Control Daemon
Ashay Shirwadkar,Center for Research in Open Source Software at UC Santa Cruz,Extend current processing methods with column-oriented processing via Arrow
Aquib Baig,Free and Open Source Silicon Foundation,Extend Librecores.org in terms of User Interactivity and Feedback
Ashwin S Shenoy,Salesforce,Extending & Improving Design System React
O V Adithya Kumar,Haskell.Org,Extending Alga
Ashneel Das,The Processing Foundation,Extending and Improving Dynamic Learning
anpandey,SymPy,Extending Codegen
Atharva Khare,Pharo Consortium,Extending DataFrame library
Rishav Chourasia,NumFOCUS,Extending Elichika & ch2o: Parsing jump statements and more
AdLucem,Haskell.Org,Extending Hasktorch With RNNs and Encoder-Decoder
Kaustubh Trivedi,National Resource for Network Biology (NRNB),Extending ModelPolisher to a universal model annotation tool
Hrishikesh Barman,Cloud Native Computing Foundation (CNCF),Extending Prombench and adding rule formatting for Prometheus
Igor Antropov,KDE Community,Faces Management workflow improvements
Saiteja Talluri,OpenCV,Facial Landmark Detector
Devon Wijesinghe,SCoRe Lab (Sustainable Computing Research Lab),Fact Bounty Web App Proposal
Tuan Amith,SCoRe Lab (Sustainable Computing Research Lab),Fact-Bounty - A web interface for a crowd-driven Fact-checking platform
Anmol Bansal,SCoRe Lab (Sustainable Computing Research Lab),Fact-Bounty - Implement a backend for a crowd-driven Fact-checking platform
Mattia Lavacca,Cloud Native Computing Foundation (CNCF),Falco engine performance analysis and optimization
Harsh Jindal,FOSSASIA,Feature Completion and Standardisation of SUSI.AI Web Projects
Shubham Gupta-2,FOSSASIA,Feature Completion and Standardization of SUSI.AI Web Projects
Swagato Chatterjee,Red Hen Lab,Feature Recognition in works of Art and Iconographic Artwork Captioning
iamzub.in,Fedora Project,Fedora Gooey Karma
Markus Hovorka,BRL-CAD,FEM Workbench Testing
Aditya Singh-2,CBMI@UTHSC,Fever prediction model using high-frequency real-time sensor data
MANISH  KUMAR,The Mifos Initiative,Fiinwallet Hybrid Mobile App
Brock Mammen,ReactOS,File Search
thealphadollar,CCExtractor Development,Finalising Sample Platform
Vito Lestingi,R project for statistical computing,Financial Transactions Analytics in blotter
Saksham Handu,The Mifos Initiative,Fineract CN mobile
MuhammadFarhan,Mozilla,Firefox Account Security Dashboard
Akshitha Shetty,Mozilla,Firefox Reader Redesign
Ahsan Barkati,FreeBSD,Firewall Test Suite
Agisilaos Kounelis,Mozilla,FixMe
Liangcheng Yu,The ns-3 Network Simulator Project,Flow Performance Optimization for Data Center Networks in NS-3
Madhav Vats,Canadian Center for Computational Genomics,Flowchart creator for GenPipes
Marcel Porta Vallés,Liquid Galaxy project,Forest analysis and visualization
Parth Patil,Django Software Foundation,FormSet Improvements
Igor Ershov,Catrobat,Fortune on the high seas
Jaideep Prasad,FOSSASIA,FOSSASIA GSOC'19 Proposal: Neurolab-Android
Ákos Hadnagy,Free and Open Source Silicon Foundation,FPGA-Accelerated Web Applications
Zach,BRL-CAD,FreeCAD Configuration Management Proposal
Amrita Chaturvedi,SCoRe Lab (Sustainable Computing Research Lab),FrontEnd UI page for NodeCloud Resource Management
Sagar Kalra,AOSSIE - Australian Open Source Software Innovation and Education,Fully featured production ready app for both iOS and Android
Jesse Sigal,Haskell.Org,Functional Machine Learning with Hasktorch: Produce Functional Machine Learning Model Reference Implementations
Peter Hall,Ardupilot.org,Further Development of Rover Sailboat Support
ReubenVarghese,OpenMRS,Further Improvements to Addons
Alexander  Oleinik,QEMU,Fuzzing QEMU's implementation of VirtIO devices
whiterandrek,ScummVM,Game engine for Red Comrades 1 and Red Comrades 2
Mukul Khanna,Open Source Robotics Foundation,Gazebo documentation index
Tyler Lum,Open Source Robotics Foundation,Gazebo Robotics Simulator Visual Plugin and Sensor Data Visualization
Ankit Priyarup,Godot Engine,GDScript Language Server
Uddeshya Singh,FOSSASIA,General UI and startup enhancements
Gennadii Sytov,CGAL project,Generalized Global Regularization
Mehak Sachdeva,Python Software Foundation,Generalized Modeling and Predictions in Multiscale Geographically Weighted Regression
Jack Qiu,CERN-HSF,Generating Hessians and Jacobians via CLAD
Shubham Goyal,LibreOffice,Generating QR Code in LibreOffice
William Moses,LLVM Compiler Infrastructure,Generation of Annotated Sources
Ashish Kshirsagar,CERN-HSF,Generative Adversarial Networks for Particle Physics Applications
Rishi Kaushik,Global Alliance for Genomics and Health,Generic compliance framework for GA4GH APIs
Dheeraj,The Linux Foundation,Generic Framework to turn legacy drivers consisting of CUPS filters and PPDs into Printer Applications
Ayush Raj,Red Hen Lab,Gesture Recognition in works of art
al3xtjames,coreboot,Ghidra Firmware Utilities
Amine Hilaly,coala,git-bug
Vladimir Masarik,Cloud Native Computing Foundation (CNCF),GitHub integrated benchmarking tool for Prometheus TSDB
Abhinav Gupta,NumFOCUS,GMsh/XDMF/DOLFIN mesh processing pipeline
Sumaid,GNOME,GNOME Music: Full stack MusicBrainz integration
Jakob L. Kreuze,The GNU Project,GNU Guix - Guix Deploy
Miguel Dantas,The GNU Project,GNU social - Optimizations on Load Balance System and Storage Usage
Shehan Dhaleesha,SCoRe Lab (Sustainable Computing Research Lab),Go-social Community App - TrackPal
IronicallySerious,Godot Engine,Godot VCS Wide Integration
Gaurav Kumar-1,LabLua,Google Cloud IoT Core Interface in Lua
John Javier Mora Vivar,The Apache Software Foundation,GORA-485 Apache Kudu datastore for Gora
Xavier Sumba,The Apache Software Foundation,GORA-527: Implement a data store for REDIS
Tomas Baltrunas,Python Software Foundation,Grad-CAM Neural Network Explanations for ELI5
Mrinal Dutta,Percona,Grafana Dashboards refactoring
Thibault Allançon,Software Heritage,Graph compression on the development history of software
Nina Medić,Pharo Consortium,Graph library with layouting algorithms
Abhinav Mehndiratta,The Julia Language,GraphBLAS Implementation
Vikas Gola,"Biomedical Informatics, Emory University",Graphical User Interface for Tensorflow
Daniyal Jahan,National Resource for Network Biology (NRNB),GraphSpace: Diffs for graphs
Sayani Gupta,R project for statistical computing,gravitas: Exploring probability distributions for bivariate temporal granularities
Sotirios Papadiamantis,Open Technologies Aliance - GFOSS,"Greek Government Gazette text mining, cross-linking and codification - 3gm"
Marlon E. Cobos,R project for statistical computing,Grinnellian ecological niches and ellipsoids in R
Divyanshu Thakur,SymPy,Group Theory
Hang Wu,OSGeo,GSoC 19: GRAPH C++ Boost graph algorithms for pgRouting
shuang,PEcAn Project,GSoC 2019 Application Proposal
kangzhiq,SymPy,GSoC 2019 Proposal of Linear Algebra: Tensor core
Priyanshu Varshney,Wikimedia Foundation,GSoC 2019 Proposal: Page Forms - add an editable calendar interface
Amr Maghraby,Red Hen Lab,GSoC 2019 | Red Hen Lab OCR
Harkishen Singh,AOSSIE - Australian Open Source Software Innovation and Education,GSoC 2019: Improving Mind The Word
Shamroy Pellew,MetaBrainz Foundation Inc,GSoC 2019: Support For Reviewing and Rating More Entities (CritiqueBrainz)
Gautami Gupta,Public Lab,GSoC proposal Public Labs: Notification System and UX Improvements
Jay Prakash,Wikimedia Foundation,GSoC Proposal: Develop code samples in Javascript and PHP for API Modules
suyash,aimacode,GSoC'19 Project Proposal for AIMA-java
Sergey Zvezdakov,Intel Media And Audio For Linux,GStreamer: Add VMAF filter as plugin in the GStreamer
Xiang Fan,GNOME,gtk4-rs: GTK 4 Rust Bindings
Rytis Kumpa,KNIME,Guided Analytics for Clustering Automation project
ratherforky,Haskell.Org,Hadrian Optimisation
Naveen Naidu,coala,Handle Nested Programming Languages
