Name,Organization,Project
Tao Lin,pache Software Foundation,Apache Spark: Build monitoring UI and related infrastructure for Spark SQL and structured streaming
Tushar,pache Software Foundation,Apache SYNCOPE-809
Menaka,pache Software Foundation,Apache VXQuery - Fully integrate Lucene Indexing into VXQuery
Paul Bustios,pache Software Foundation,Apache Zeppelin Notebooks
Kira,he Apertium Project,Apertium website improvements
tiefling-cat,he Apertium Project,Apertium Weighted Transfer Rules
kiran4399,eagleBoard.org,API support for Beaglebone Blue
Gunjan Shrivastava,tony Brook University Biomedical Informatics,App development for infectious microbial genomics
Cpt. Crispy Crunchy,ovingBlocks,Application for City Generation and dynamic Simulation
lucasmoura,ebian Project,AppRecommender - integration with AppStream
Marcos Pividori,lpack: a scalable C++ machine learning library,Approximate Nearest Neighbor Search
mentekid,lpack: a scalable C++ machine learning library,Approximate Nearest Neighbor Search: Implementation of Multiprobe LSH and LSH Tuning
DonKult,ebian Project,APT↔dpkg communication rework
El-Mohr,owRISC,Arduino to PULPino library porting
mvlabat,DE,Ark project: Implement advanced editing of archives
nocturnalastro,penAstronomy,Astropy: Bridge sherpa and astropy fitting
gulic,ibvirt,Asynchronous lifecycle events for storage objects
amaneureka,eactOS,ATA/ATAPI drivers AHCI Support
Shekhar Reddy,penMRS,Atlas 3.0
saifulbkhan,NOME,Audio tag editing support for GNOME Music
qiubit,ideoLAN / VLMC Project,Audio/Video sync mechanism
YL,EAMMATES @ National University of Singapore,"AutoComplete ComboBox for Panel's Filter, Interactive Tutorial and GUI Filter Expression Generator"
black-perl,he syslog-ng project,Automated release generation for syslog-ng
smarshy,"ysters, an Anita Borg Institute Community",Automated Testing - VMS
Alangi Derick (d3r1ck),ikimedia Foundation,Automated Testing and Integration of IFTTT support to Wikidata
Anton Khodak,pen Bioinformatics Foundation,Automated tool wrapper/converter for CWL
maditparis,"ysters, an Anita Borg Institute Community",Automated Unit Testing
Junaid Ali,he Apertium Project,Automatic Blank Handling
ibarbech,obocomp,Automatic code generation for State Machines
Aditya Nambiar,bpediaspotlight,Automatic mappings extraction
Rakshika Bagavathy,RL-CAD,Automatic Polygonal Mesh Healing
spinute,uby,Automatic-selection mechanism for data structures in MRI
Sanjeed Schamnad,pen Chemistry,Avogadro-2: Integration of cclib data parser using Chemical JSON
Half-Shot,atrix.org,Bark: Microblogging in Matrix
jbm950,ython Software Foundation,Base Class and Increased Efficiency for Equation of Motion Generators
malithsen,ustainable Computing Research Group ( SCoRe ),Bassa
Voskoboynick,lobal Alliance for Genomics & Health,Beacon Compliance Suite
amragaey,eagleBoard.org,BeagleBoard GSoC'16: Improving Bone101 Experience
Punit Vara,TEMS Project,Beaglebone Black BSP Improvement
ZeekHuge,eagleBoard.org,BeagleScope
Amelie HELIOU,ambit - Software Tools for Game Theory,Best responses representation in bimatrix games
grievejia,he LLVM Compiler Infrastructure,Better Alias Analysis By Default
Kamalpreet Kaur,nkscape,Better CSS Style Sheet Support
Adrian Boguszewski,nkscape,Better data structure for selections
Adam Wyłuda,cala,Better off-heap collections for Scala
Jonathan Neuschäfer,oreboot,Better Support for RISC-V Systems
Vlad Shablinsky,omebrew,Better support HEAD formulae
Arushi Dogra,ndic Project,Better use on boarding/first time user experience
Samyadeep Basu,pen Genome Informatics,Biological Graph Visualizations
thejmazz,pen Bioinformatics Foundation,Bionode workflow engine for streamed data analysis
Utsav_Chokshi,olibriOS,Bit torrent client for KolibriOS
sebbas,lender Foundation,Blender Mantaflow Integration: Single Code Fluid Solver
Oleg.jakushkin,ERN SFT,BLonD code optimization strategy for parallel and concurrent architectures
Faye,ioJS,Bonestagram - DICOM visualisation made fun
joshim5,omputational Biology @ University of Nebraska-Lincoln,Boolean-based Representations of Biological Systems
Jainesh Doshi,rchC,Booting the eCos RTOS on the ArchC Simulator
Visarion Alexandru,NOME,Boxes: More SPICE features
Chalkos,uby,Breaking changes for the 2.0 release
zlei,entoo Foundation,Bring Native Clang Support to Gentoo
Ivan Josa,hysical Web Project,Bring Your Own Pois +  Android Controller Upgrade
Chingchai Humhong,SGeo - The Open Source Geospatial Foundation,Bringing pyModis to the web through ZOO-Project
sniok,RL-CAD,BRL-CAD Web Infrastructure Update
Prital Patel,oomla!,Browser Automated Tests for Joomla! CMS(covering Users and Content features)
Richard Meister,ublic Lab,Browser-based Arduino sensor data transfer using WebRTC and headphone jack
mbj36,ifos Initiative,Browser-Based Offline Access
apsdehal,Query Foundation,Bug Hunt
JuexinWang,BioPortal for Cancer Genomics,Build a web service and auto updating pipeline to provide 3D structure alignments for BioPortal
gauravgupta,loudCV,Build Deep Learning models online
patmagee,lobal Alliance for Genomics & Health,Building a Better Beacon: Developing Supporting Tools for the Beacon Project
Rokas,nternational Neuroinformatics Coordinating Facility,Building cortical network models in NeuroML2 using procedural and declarative programming approaches
coco90417,"iomedical Informatics, Emory University",Building Survival Models from Genomic Data with Google TensorFlow
Sergei Sakhno,olibriOS,C layer
Jayton,ava Pathfinder Team,Cache layer for jpf-nhandler
NemoNoboru,uby,Cap'n Proto RPC implementation by wrapping c++
Kolpa,omputational Science and Engineering at TU Wien,Carbon Footprint for Google Maps Firefox Port
PrateekGupta1509,omputational Science and Engineering at TU Wien,Carbon Footprints
mishinma,ARDIS-SN,Carsus - TARDIS support package for creating atomic datasets.
story645,umFOCUS,Categorical Axis
Lokesh Sharma,uby Science Foundation,"Categorical data support for Daru, Statsample and Statsample-glm"
Pulkit Bhatia,elluloid,Celluloid - Adding new features to Reel
Prathmesh Ranaut,elluloid,Celluloid - Benchmarking and Performance Improvements
Ma-Shell,he Honeynet Project,Centralized Service Configuration for Holmes
rohitmohan96,Boss Community,Ceylon Markdown
Lucas Werkmeister,Boss Community,Ceylon TypeScript Loader
Canberk Koç,ebian Project,CI for Debian-Med
Mouna A,iviCRM,Cividroid 2.0
Pranay Yadav,iviCRM,CiviREBUX: Report Building Extension for CiviCRM
sasanikolic,rupal,CKEditor plugins for TMGMT
Prasad_arun,NU Project,Cleanup ffcall
Anastasia,omebrew,Closer integrating Homebrew with Homebrew cask
Ismael Arroyo,iquid Galaxy Project,Cloud Point Visualization for Liquid Galaxy
lemourin,ideoLAN / VLMC Project,Cloud services support for vlmc
diyclassics,lassical Language Toolkit,CLTK Latin/Greek Backoff Lemmatizer
Richhiey,apian Search Engine Library,Clustering of Search Results
Abhishek Kumar Annamraju,pen Detection,CNN based object localization and recognition for openDetection library
Adhityaa Chandrasekar,ython Software Foundation,coala: Automatic settings guessing
tushar-rishav,ython Software Foundation,coala: coala-html and coala website
Adrianzatreanu,ython Software Foundation,coala: Decentralizing Bears
SanketDG,ython Software Foundation,coala: Documentation Extraction
mr-karan,ython Software Foundation,coala: Extend linter integration
Abhay Raizada,ython Software Foundation,coala: Generic Spacing Correction
Sheikh Araf,ython Software Foundation,coala: Integrating coala with the Eclipse IDE
Redridge,ython Software Foundation,coala: Writing bears with different programming languages
Harish Anand,edora Project,Cockpit Project's support for systemd timers
Jayitra,NU Project,Code Refactor
popeye,cGill Space Institute,Coders of Habitability
bholagabbar,penMRS,Cohort Module Enhancements
Georg Faustmann,omputational Science and Engineering at TU Wien,Colibri OpenADR connector
goJoWe16,omputational Science and Engineering at TU Wien,Colibri – OBIX Connector
PratyushTalreja,omputational Science and Engineering at TU Wien,Colibri: MATLAB Simulink Connector
wojtuch,bpediaspotlight,Combining DBpedia and Topic Modelling
Agata,OSSASIA,CommonsNet
ad.laza32,SGeo - The Open Source Geospatial Foundation,Complete basic cartography suite in GRASS GIS wxGUI Map Display
Ashik,IT Media Lab,Component Enhancement and Runtime Instantiation
Xi-Jin Zhang (mfs6174),ed Hen Lab,Computer Vision and Machine Leaning Applications on Artwork Images
Shiven Mian,OSSASIA,Conception and development of loklak_depot: a platform and marketplace for data
Jakub,NOME,Configurable Shortcuts for Pitivi
Vu Huy,he Tor Project,CONIKS for Tor Messenger
Nathiesha,SO2,Contact Development Team feature in DevStudio
Kacper,he Honeynet Project,Context based fuzzy clustering of malware
Pallav Agarwal,entoo Foundation,Continuous stabilization of Gentoo Packages
Tyan Vladimir,penCV,Convolutional Neural Networks for Visual Tracking
Upendra Kumar,ython Software Foundation,Core Python: A GUI (tkinter) front end for pip
Anish Shah,ython Software Foundation,Core Python: Roundup
gaurav_tamba,uby Science Foundation,Create a Ruby Wrapper for NASA's SPICE Toolkit
hakatashi,Query Foundation,Create a sandbox interface for tests
Luciano,ebian Project,Create new recommendation strategy for AppRecommender
Shivam Mamgain,OSSASIA,Create REST APIs to write data to the Open Event Organizer Server
Avijit Gupta,ppia Foundation,Creator Dashboard
divyaupadhyay,"ysters, an Anita Borg Institute Community",Crowdsourcing for the Guyana Deaf Community - Google Glass Integration
pabloem,itrivr,Cthulhu - Vitrivr Feature Extraction Pipeline
tocttou,loudCV,CVFY
DingTo,lender Foundation,Cycles: Texture system improvements and better user feedback
kulluiitb,"BDyn, Department of Aerospace Science and Technology at Politecnico di Milano",Cycloidal rotor module improvements
Ashish Tiwari,ational Resource for Network Biology (NRNB),Cytoscape command line scripting enhancements
tdgunes,ovingBlocks,DAG-based Rendering Pipelines for Terasology
wannabecitizen,nclusive Design Institute,Data Visualization with Infusion
maarouf,erkman Center for Internet and Society,Data-Agnostic Visualization Widgets [Internet Monitor Dashboard]
KeonKim,lpack: a scalable C++ machine learning library,Dataset and Experimentation Tools
Kunal Jha,bpediaspotlight,DBpedia Lookup Improvements
Peter Vu,"iomedical Informatics, Emory University",De-Mystifying Medical Imaging DICOM Data
Yida Wang,penCV,Deep Learning with Quantization for Semantic Saliency Detection
Danoja,pache Software Foundation,Derby bug Fixing
Nikos Koukis,obile Robot Programming Toolkit (MRPT),Design and developement of a full graph-based SLAM strategy in mrpt
lopezm,he Julia Language,Design of an API and set up of a regression tracker for iterative methods in Julia
Harsh Daftary,ebian Project,Developer Horizon and other extensions
Pavani Tripathi,rchC,Developing RV32G Processor Model
Silvia Franceschi,SGeo - The Open Source Geospatial Foundation,Development of a model for woody debris flooding hazard in gvSIG
bdhruve,DE,Devising the Plasma Mobile Emulator
ricardohmon,ert.x,DevOps tooling for Vert.x applications
Chathura,ealth Information Systems Programme,DHIS - Tracker longitudinal Charting
Pralay Ramteke,penMRS,DHISReport DHIS2 WebAPI
penguinRaider,he Linux Foundation,Diagnose my ceph cluster
OmarAmin,DE,digiKam automatic Red Eyes detection and correction
Swati,DE,DigiKam MySQL/MariaDB Database Support
Riddhish Bhalodia,ython Software Foundation,DIPY: Automatic Denoising and Robust Brain Extraction
ghoshbishakh,ython Software Foundation,DIPY: Developing a new DIPY website with interactive features
RobinKo, project for statistical computing,Discovr: Streamlining statistical data analysis
Alberto C.,he Linux Foundation,Disk Removal Safety Utility for Ceph
Devansh T Shah,ortland State University,Displaying SUBSURFACE features in the virtual world using NASA's WorldWind
Borja,eam Community,Distributed Intermediate Tree Elimination in Lasp
Asantha Thilina,SO2,Document Based NoSQL Support for  WSO2 Identity Server Database
mortenpi,he Julia Language,Documentation tools for Julia
Chaitanya,erkman Center for Internet and Society,Dotplot Project Proposal
Felix Mulder,cala,Dottydoc
Krish,ozilla,Download app assets at runtime
abhivinj,CExtractor Development,Downloading subtitles from various Internet TV services.
Samuel Richardson,Boss Community,Drools Rules in Minecraft
Vijay Nandwani,rupal,Drupal 8 media solution module
WinterGrascph,cummVM,Dungeon Master
Rishabh Garg,CExtractor Development,"DVD Subtitles, CEA-708 completion and Example programs"
Yan Xiao,OSSIE - The Australian National University's Open-Source Software Innovation and Education,Dynamic Network Analysis in Rogas
Ambroise Moreau,penCV,Dynamic structured light in openCV
bhargavvader,umFOCUS,Dynamic Topic Models - Gensim
Asco,reifunk,DynaPoint - A dynamic access point validator and creator for OpenWrt/LEDE
Nikita,igmah,Easier Project Model Management
Jensen Jiang,lone Foundation,eBook Content Export
rnavagamuwa,clipse Foundation,Eclipse CHE: Pair programming with Eclipse Che Cloud IDE
Martin Kloesch,clipse Foundation,Eclipse EASE Jupyter Kernels
addiittya,WASP Foundation,Educational Plugin for Seraphimdroid
Alexander Bokov,penCV,Efficient dense optical flow
Serhii Beliablia,EAMMATES @ National University of Singapore,Email Customizer and Rich-text support
fraruca,clipse Foundation,EMF Forms goes AngularJS: A web-based editor for UI schemata
hgabaldon,clipse Foundation,EMF Forms goes AngularJS: Backend integration with OpenAPI
abhishekp,iquid Galaxy Project,Enabling Cesium for Liquid Galaxy
CrisCristescu,he LLVM Compiler Infrastructure,Enabling llvm’s self-hosted modules builds using libstdc++
Matthias Reisinger,he Julia Language,Enabling Polyhedral Optimizations in Julia
vear91,eph,End-to-end Performance Visualization
jooolia,ational Resource for Network Biology (NRNB),Enhance vignettes and plugin use for R package RCy3 for network manipulation using Cytoscape
Ana,penSUSE,Enhance visitor experience of OSEM
Muhammad Omer Saeed,RISM Model Checker,Enhanced Graph Plotting and General GUI Improvements in Prism
Ganindu,RISM Model Checker,Enhanced Strategy Functionality for PRISM
Peixuan Ding,itHub,Enhanced User Management for GitHub Classroom
cyhsutw,itHub,Enhancements for GitHub Classroom
suheb,lassical Language Toolkit,Enhancements in the CLTK webapp
Harshit Dwivedi,OSSASIA,Enhancements to the FOSSAsia Open Event Android App
ankit_m,omputational Science and Engineering at TU Wien,Enhancing Language Learning using Mind the Word
aviaryan,OSSASIA,Enhancing Open Event Server
Misgana,SO2,Ensemble Methods Support for WSO2 Machine Learner
sugakandrey,cala,ENSIME Graphocalypse
Ilya Zakharov,he Linux Foundation,Environment model specifications for more bugs to reveal
Yuanxun,reeBSD,Ethernet Ring Protection Switching
Erick Guan,iscourse,Eventhooks for Discourse
Nicolas Del Piano,RISM Model Checker,Exact Solution Methods
gjorgenson,age Mathematical Software System,Expand the generic algebraic curve functionality in Sage
ananyo,ublic Lab,Expanded Q & A System for Publiclab.org
chanakya_vc,eagleBoard.org,"Exposing The PRU as an I2C,SPI,UART device"
JPenington,OSSIE - The Australian National University's Open-Source Software Innovation and Education,Extempore - Live coding with simulation codes
nampi,pen Source Robotics Foundation,Extend communication outside the LAN
amtj,pen Source Robotics Foundation,Extend communication outside the LAN
christopherZ,RISM Model Checker,Extended support for mean-payoff properties
Jouni Pentikäinen,DE,Extending animation features in Krita
Zhaoyuan Zoe Xi,ational Resource for Network Biology (NRNB),Extending Cytoscape.js: Addition of Clustering Algorithms
Anirudh Anand,WASP Foundation,Extending language support and adding OWASP Top 10 challenges to Container Engine
Tara,age Mathematical Software System,Extending Matroid Theory functionality
kshitij10496,ymPy,Extending solveset
afromherz,ava Pathfinder Team,"Extending SPF with handling of symbolic arrays, and implementing a replay module"
VicentiuM,abLua,Extending the online tutorial of Céu with Emscripten and SDL
Anguelos,penCV,Extending the text module with deep Word-spotting CNN
Karan Desai,ARDIS-SN,Extensive Test Suite for TARDIS
Alexandru Somai,enkins Project,External Workspace Manager Plugin
benzrf,elluloid,Extract ECell
RobertR,atrobat,Feature Completeness (Scratch)
Tudor Coman,map Security Scanner,Feature Creeper/Bug Wrangler
tremblerz,map Security Scanner,Feature creeping and Bug wrangling
Sachin S Kamath,edora Project,Fedora CommOps - Statistics Automation and Improvements
sdolganov,Fmpeg,FFv1 P frame support
Rasanjana,penMRS,FHIR Swagger Document generator and enhancements
izgzhen,ozilla,File Support
Teemperor,he LLVM Compiler Infrastructure,Finding and analysing copy-pasted code with clang
meta-coder,pache Software Foundation,Fineract: Implement integration for Unified Payments Interface
Pierre Laperdrix,he Tor Project,Fingerprint Central
Blaine,ava Pathfinder Team,Fingerprinting for Programs
Wastack,ibreOffice,Finish Firebird driver integration
vovapolu,cala,Flexible Fast Parser Combinators
Illedran,SGeo - The Open Source Geospatial Foundation,Flow Algorithms for pgRouting
koldav,DE,Fluent graphics across every tile level in Marble's OSM vector map
darkrai,"BDyn, Department of Aerospace Science and Technology at Politecnico di Milano",FMI model exchange and co-simulation standard
Sergej Proskurin,he Honeynet Project,Foundations for DRAKVUF on ARM
Giacomo Dabisias,pen Detection,Framework design and library maintenance
marksurnin,reen Navigation,Front end rethink
oddcoder,adare,Function argument detection
Saurabh7,hogun Machine Learning Toolbox,Fundamental ML: The usual suspects
Sulley,he Wine Project,Further work on the Visual C++ iostream library
Sab,imVideos.us,FX2 firmware support for FTDI emulation
Tharindu Munasinghe,ustainable Computing Research Group ( SCoRe ),G-Clouds
Anton Gabov,Boss Community,Gabov Anton. Smart HTTP/2-based protocol for Infinispan
Sparsh Paliwal,nclusive Design Institute,Game for First Discovery of Preferences
Megh Parikh,NOME,Games: Add gamepad support
Ricard Gascons,NOME,Games: Support more game formats
Quora,etaBrainz Foundation,Gamification of submission system
Leopoldo Catania, project for statistical computing,GAS package
Prasad Ghangal,NU Project,GCC - Development of GIMPLE Front End
erikvarga,NU Project,GCC - Further work on addressing mode selection
Ayush Goel,NU Project,GCC - Replace Libiberty with Gnulib
christian_f,pen Bioinformatics Foundation,GeneNetwork Genome Browser
Caio Souza,cilab Enterprises,General Graphics Improvements
Barbara Lócsi,NU Octave,Generalised eigenvalue problem
JinJin Lin,ioJS,Generic protein expression view for Human Body
aeroniero,entoo Foundation,Gentoo Keys Improvements and the new MetaManifest system
Abhinav Mehta,ed Hen Lab,Gesture Recognition Using Machine Learning
mozin,ed Hen Lab,Gesture recognition using multimodal deep learning
Soumitra Agarwal,ed Hen Lab,"Gestures, Machine learning and other things"
schloerke, project for statistical computing,"ggduo: pairs plots for multiple regression, cca, time series"
ntrstd,ortland State University,GIFScript: A tool for scripting technical GIF animations
Vikram Ahuja,ugar Labs,Git Backend
gnarula,NOME,GNOME Music ownCloud support
hoernchen,nss-sdr,GNSS-SDR port to android
sravan953,2PSP.org,GoPro Broadcasting Using P2PSP On Android
domt4,omebrew,GPG Verification in Homebrew
ParamHanji,RL-CAD,GPGPU Support for Boolean Evaluation Used in Ray Tracing
Simon Pfreundschuh,ERN SFT,GPU-accelerated Deep Neural Networks in TMVA
ghost_rider,reeBSD,Grant-Table User-Space Device
Anuj Khandelwal,"enes, Genomes and Variation",Graphical workflow editor for eHive using Blockly
Thunderboltsid,RPC,GRPC Python compatibility support
Gaurav Dhingra,ymPy,GSoC 2016 Application Gaurav Dhingra: Group Theory
Shekhar Prasad Rajak,ymPy,GSoC 2016 Application Shekhar Prasad Rajak: Solvers - Completing Solveset
Chiara Segala,NU Octave,GSoC 2016 EXPONENTIAL INTEGRATORS
Yilin Li,he syslog-ng project,GSoC 2016 Proposal: WebSocket for syslog ng (Yilin Li)
FrancescoFaccio,NU Octave,GSoC ode15s project proposal
Vaibhav Raj Gupta,oston University / XIA,Gsoc Proposal - Accelerating LPM with Poptrie
zeus,OSSASIA,GSOC proposal for Timeline and Search Navigation for loklak.net
Beth2,lobal Alliance for Genomics & Health,GSoC Student Proposal for SMART/FHIR and GA4GH
Roman Schulte,ational Resource for Network Biology (NRNB),GSoC: JSBML Validation System
Jaume,ambit - Software Tools for Game Theory,GTE: the Future Tool in Game Theory
nisargshah95,olibriOS,GUI-based FTP client for KolibriOS
mertkahyaoglu,itHub,GUI/Administrative interface for Jekyll
Abhinav Shukla,CExtractor Development,Hardsubx - Extraction of burned in subtitles from videos
AbdulRauf,PAC,Hardware-accelerated media decoding on Android
Austin,Boss Community,Hawkular-agent For Vert.x
Alex Teaca,reeBSD,HD Audio device model in userspace for bhyve
mincongh,Boss Community,Hibernate Search: JSR 352 batch job for re-indexing entities
Sameer Sonawane,tony Brook University Biomedical Informatics,High performance Data Cube materialization and querying using Apache Spark
yuri,reeBSD,High-performance P4 software switch using netmap
vmaffione,reeBSD,High-performance TCP/IP networking for bhyve VMs using netmap passthrough
stancium,NOME,Horizontal Map Wrapping In Libchamplain
Parsa Amini,he STE||AR Group,HPX Debugger
wintersw,atrobat,HTML5 Player: Compatibility/Feature Completeness (Scratch)
Teabeans,atrobat,HTML5 Player: Rendering + Physics
Venkat,SO2,HTTP Load Balancer On Top Of WSO2 Gateway
Wei Tang,he Julia Language,"HTTP/2 Implementations for HTTPServer.jl, Requests.jl, and Mux.jl"
Yijin,EAMMATES @ National University of Singapore,HubTurbo -- Usability Hero
Moisés Lodeiro,hysical Web Project,IBRI - Interactive Beacon Rescue Interface
Anwar N,ndic Project,IBus-Braille Enhancement
ales.saska,omputational Biology @ University of Nebraska-Lincoln,Idea 1 - Ales Saska
Znbiz,omputational Biology @ University of Nebraska-Lincoln,Idea 1: Javascript/WebGL Component For Interactive Visualization Of Large-Scale Network Graphs.
mronian,he Julia Language,Image Features and Exposure Correction using Images.jl
Olga Vorokh,penAstronomy,Image processing and source detection in Gammapy
JoeyAndres,oodle,Image Resize/Crop/Rotate Proposal.
Asier Erramuzpe,nternational Neuroinformatics Coordinating Facility,Image Search for Brain Maps
Aalekh Nigam,he STE||AR Group,Implement a Map/Reduce Framework
sivsushruth,eam Community,Implement an elixir backend for indexing and extending the database
kamidi_preetham,oletta Project,Implement Auto-complete for Soletta Dev-App
Aaryaman Vasishta,he Wine Project,Implement basic rendering for Direct3D Retained mode
Amr Mohamed,NU Octave,Implement boolean operations on polygons
Tkachov,cummVM,Implement cloud storages support in ScummVM
hrishikesh,he NetBSD Foundation,Implement Ext4fs support in ReadOnly mode
Fjodor Vershinin,clipse Foundation,Implement filesystem sync in Eclipse Flux
Vladimir,oletta Project,Implement go bindings for soletta
adityadivekar,NU Mailman,Implement module to process ARC headers
nishanthvijayan,OSDEM VZW,Implement overall change tracking in OSEM
Zé Vinícius,penAstronomy,Implement PSF photometry for fitting several overlapping objects at once
varunnaganathan,ozilla,Implement RFC7512 PKCS#11 URI support and system integration
Dangyi Liu,uby,Implement UJS using native JavaScript
Shengyu Zhang,NU Project,Implement xattr Support of Hurd Project
AlexP11223,ibreOffice,Implement Zoner Draw import filter
Sankepally Rohith Reddy,SGeo - The Open Source Geospatial Foundation,Implementation of a framework which supports addition of contraction techniques for pgRouting.
Ipsita,nternational Neuroinformatics Coordinating Facility,Implementation of a HDF5 export/import to EEGBase
kaichogami,ython Software Foundation,Implementation of a signal processing pipeline to chain signal processing and machine-learning estimators.
Jess Smith,cala,Implementation of Coroutine-­Based Utilities
